iter	RMSE
0	1628.808527
1	1549.080721
2	1478.643817
3	1420.891763
4	1366.522612
5	1322.873203
6	1286.500873
7	1253.809532
8	1231.365492
9	1208.946585
10	1189.681949
11	1173.599686
12	1159.458393
13	1147.444625
14	1137.3156
15	1128.850097
16	1120.982353
17	1114.580189
18	1109.845006
19	1105.436082
20	1101.862745
21	1099.228395
22	1096.070199
23	1093.266001
24	1090.942317
25	1089.646909
26	1088.021814
27	1086.431823
28	1084.820208
29	1083.234716
30	1082.050903
31	1080.402036
32	1079.640142
33	1078.709615
34	1077.753784
35	1076.409274
36	1075.803005
37	1074.584685
38	1073.806292
39	1072.931577
40	1072.224583
41	1071.042158
42	1069.459493
43	1068.51012
44	1067.601966
45	1067.214544
46	1066.616666
47	1065.841068
48	1065.219155
49	1064.765215
50	1063.907781
51	1063.674094
52	1062.551657
53	1062.096968
54	1061.118956
55	1060.532063
56	1059.356642
57	1058.591646
58	1057.659431
59	1056.982332
60	1056.499352
61	1055.579095
62	1054.903922
63	1054.276707
64	1053.771287
65	1052.595517
66	1051.785897
67	1051.223002
68	1050.694441
69	1050.378391
70	1049.820459
71	1049.193944
72	1048.881143
73	1048.527405
74	1048.388032
75	1047.640445
76	1046.990641
77	1046.759371
78	1046.106348
79	1045.773441
80	1044.995824
81	1044.707986
82	1043.485152
83	1043.170136
84	1042.660341
85	1041.986379
86	1041.074573
87	1040.167734
88	1039.50954
89	1039.043285
90	1038.472124
91	1038.173438
92	1037.265705
93	1036.811612
94	1036.180354
95	1035.695589
96	1035.097279
97	1034.023975
98	1033.052756
99	1032.484412
