iter	Passed	Remaining
0	3	299
1	5	270
2	8	262
3	10	257
4	13	254
5	16	251
6	18	247
7	21	243
8	23	240
9	26	237
10	29	234
11	31	233
12	34	230
13	37	227
14	39	224
15	42	221
16	44	218
17	47	215
18	51	220
19	54	216
20	56	213
21	59	209
22	61	207
23	64	203
24	66	200
25	69	197
26	71	194
27	74	191
28	77	189
29	79	186
30	82	183
31	85	181
32	87	178
33	90	175
34	92	171
35	95	169
36	97	166
37	100	163
38	102	160
39	105	157
40	107	155
41	110	152
42	112	149
43	115	146
44	117	144
45	120	141
46	124	140
47	130	141
48	133	139
49	136	136
50	138	133
51	141	130
52	144	127
53	146	125
54	149	122
55	152	119
56	154	116
57	157	113
58	159	111
59	162	108
60	164	105
61	167	102
62	169	99
63	172	96
64	174	94
65	177	91
66	180	88
67	182	85
68	185	83
69	187	80
70	190	77
71	193	75
72	195	72
73	198	69
74	199	66
75	202	63
76	205	61
77	208	58
78	210	55
79	213	53
80	215	50
81	218	47
82	220	45
83	223	42
84	226	39
85	229	37
86	231	34
87	234	31
88	237	29
89	239	26
90	242	23
91	244	21
92	247	18
93	249	15
94	254	13
95	257	10
96	259	8
97	262	5
98	265	2
99	267	0
